frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.320000,0.000000,17.049999,0.000000,0.000000,8.360000,0.000003,0.008408,0.000003,0.999965,0.000000,-0.000400,0.000000
1,True,True,-1.000000,1.000000,0.390000,0.000000,17.049999,20.469999,-3.600000,8.270000,0.000003,0.008408,0.000003,0.999965,-0.001500,-0.001000,-0.088500
2,True,True,-1.000000,1.000000,0.630000,-0.030000,17.049999,40.709999,-7.240000,8.210000,-0.000003,0.008402,-0.000364,0.999965,-0.002300,-0.001400,-0.178700
3,True,True,-1.000000,1.000000,1.040000,-0.090000,17.049999,60.699997,-10.980000,8.170000,-0.000008,0.008397,-0.001109,0.999964,-0.002800,-0.001700,-0.271300
4,True,True,-1.000000,1.000000,1.610000,-0.180000,17.049999,80.459999,-14.799999,8.139999,-0.000008,0.008392,-0.002242,0.999962,-0.003000,-0.001800,-0.365400
5,True,True,-1.000000,1.000000,2.350000,-0.300000,17.049999,100.009995,-18.699999,8.120000,-0.000008,0.008386,-0.003763,0.999958,-0.003100,-0.001900,-0.460000
6,True,True,-1.000000,1.000000,3.250000,-0.460000,17.049999,119.369995,-22.689999,8.110000,-0.000003,0.008381,-0.005678,0.999949,-0.003000,-0.001900,-0.554500
7,True,True,-1.000000,1.000000,4.310000,-0.650000,17.049999,138.539993,-26.769999,8.099999,0.000003,0.008375,-0.007987,0.999933,-0.002800,-0.001900,-0.648200
8,True,True,-1.000000,1.000000,5.530000,-0.870000,17.049999,157.529999,-30.959999,8.099999,0.000013,0.008370,-0.010690,0.999908,-0.002500,-0.001800,-0.740600
9,True,True,-1.000000,1.000000,6.910000,-1.130000,17.049999,176.339996,-35.279999,8.099999,0.000030,0.008365,-0.013776,0.999870,-0.002200,-0.001700,-0.831200
10,True,True,-1.000000,1.000000,8.450000,-1.430000,17.049999,194.970001,-39.759998,8.099999,0.000051,0.008359,-0.017239,0.999816,-0.001900,-0.001600,-0.919800
11,True,True,-1.000000,1.000000,10.139999,-1.760000,17.049999,213.419998,-44.410000,8.099999,0.000078,0.008354,-0.021069,0.999743,-0.001500,-0.001500,-1.005800
12,True,True,-1.000000,1.000000,11.990000,-2.130000,17.049999,231.690002,-49.270000,8.099999,0.000105,0.008348,-0.025261,0.999646,-0.001200,-0.001400,-1.089100
13,True,True,-1.000000,1.000000,13.990000,-2.540000,17.049999,249.769989,-54.360001,8.099999,0.000138,0.008343,-0.029798,0.999521,-0.000800,-0.001200,-1.169400
14,True,True,-1.000000,1.000000,16.139999,-3.000000,17.049999,267.649994,-59.699997,8.099999,0.000175,0.008338,-0.034670,0.999364,-0.000500,-0.001100,-1.246600
15,True,True,-1.000000,1.000000,18.440001,-3.500000,17.049999,285.320007,-65.330002,8.099999,0.000218,0.008332,-0.039860,0.999170,-0.000200,-0.000900,-1.320600
16,True,True,-1.000000,1.000000,20.889999,-4.050000,17.049999,302.779999,-71.269997,8.099999,0.000262,0.008327,-0.045357,0.998936,0.000000,-0.000800,-1.391300
17,True,True,-1.000000,1.000000,23.480000,-4.650000,17.049999,320.009979,-77.549995,8.099999,0.000310,0.008322,-0.051146,0.998656,0.000200,-0.000700,-1.458600
18,True,True,-1.000000,1.000000,26.219999,-5.300000,17.049999,337.000000,-84.169998,8.099999,0.000364,0.008316,-0.057215,0.998327,0.000400,-0.000600,-1.522700
19,True,True,-1.000000,1.000000,29.099998,-6.010000,17.049999,353.739990,-91.169998,8.099999,0.000418,0.008311,-0.063548,0.997944,0.000500,-0.000500,-1.583500
20,True,True,-1.000000,1.000000,32.119999,-6.780000,17.049999,370.220001,-98.559998,8.099999,0.000477,0.008305,-0.070130,0.997503,0.000600,-0.000400,-1.640900
21,True,True,-1.000000,1.000000,35.270000,-7.610000,17.049999,386.419983,-106.360001,8.099999,0.000537,0.008300,-0.076949,0.997000,0.000700,-0.000300,-1.694900
22,True,True,-1.000000,1.000000,38.559998,-8.510000,17.049999,402.319977,-114.589996,8.099999,0.000596,0.008295,-0.083989,0.996432,0.000800,-0.000200,-1.745600
23,True,True,-1.000000,1.000000,41.980000,-9.480000,17.049999,417.919983,-123.259995,8.099999,0.000661,0.008289,-0.091234,0.995795,0.000900,-0.000100,-1.793000
24,True,True,-1.000000,1.000000,45.529999,-10.520000,17.049999,433.190002,-132.369995,8.099999,0.000726,0.008284,-0.098669,0.995086,0.001000,0.000000,-1.837200
25,True,True,-1.000000,1.000000,49.209999,-11.639999,17.049999,448.130005,-141.940002,8.099999,0.000796,0.008278,-0.106281,0.994301,0.001000,0.000000,-1.878200
26,True,True,-1.000000,1.000000,53.009998,-12.840000,17.049999,462.709991,-151.970001,8.099999,0.000866,0.008273,-0.114060,0.993439,0.001000,0.000000,-1.916000
27,True,True,-1.000000,1.000000,56.930000,-14.120000,17.049999,476.929993,-162.449997,8.099999,0.000936,0.008268,-0.121985,0.992497,0.001000,0.000000,-1.950600
28,True,True,-1.000000,1.000000,60.969997,-15.490000,17.049999,490.720001,-173.459991,8.099999,0.001006,0.008262,-0.130045,0.991473,0.001000,0.000000,-1.983800
29,True,True,-1.000000,1.000000,65.129997,-16.949999,17.049999,504.049988,-185.019989,8.099999,0.001076,0.008257,-0.138234,0.990364,0.001000,0.000000,-2.016400
30,True,True,-1.000000,1.000000,69.400002,-18.510000,17.049999,516.899963,-197.110001,8.099999,0.001152,0.008246,-0.146548,0.989169,0.000900,0.000000,-2.048200
31,True,True,-1.000000,1.000000,73.769997,-20.170000,17.049999,529.269958,-209.720001,8.099999,0.001227,0.008235,-0.154985,0.987882,0.000800,0.000000,-2.079000
32,True,True,-1.000000,1.000000,78.250000,-21.939999,17.049999,541.149963,-222.839996,8.099999,0.001303,0.008224,-0.163536,0.986502,0.000700,0.000000,-2.108700
33,True,True,-1.000000,1.000000,82.820000,-23.820000,17.049999,552.519958,-236.459991,8.099999,0.001378,0.008214,-0.172194,0.985028,0.000600,0.000000,-2.137200
34,True,True,-1.000000,1.000000,87.489998,-25.809999,17.049999,563.369995,-250.569992,8.099999,0.001454,0.008203,-0.180961,0.983455,0.000500,0.000000,-2.164400
35,True,True,-1.000000,1.000000,92.250000,-27.920000,17.049999,573.679993,-265.149994,8.110000,0.001529,0.008192,-0.189825,0.981783,0.000500,0.000000,-2.190300
36,True,True,-1.000000,1.000000,97.089996,-30.160000,17.049999,583.440002,-280.190002,8.110000,0.001605,0.008176,-0.198775,0.980010,0.000500,-0.000100,-2.214900
37,True,True,-1.000000,1.000000,102.019997,-32.520000,17.049999,592.640015,-295.679993,8.110000,0.001680,0.008160,-0.207811,0.978133,0.000500,-0.000100,-2.238100
38,True,True,-1.000000,1.000000,107.019997,-35.009998,17.049999,601.269958,-311.600006,8.110000,0.001756,0.008143,-0.216923,0.976153,0.000500,-0.000100,-2.259900
39,True,True,-1.000000,1.000000,112.089996,-37.639999,17.049999,609.309998,-327.940002,8.110000,0.001837,0.008127,-0.226105,0.974067,0.000500,-0.000100,-2.280400
40,True,True,-1.000000,1.000000,117.229996,-40.399998,17.049999,616.750000,-344.679993,8.110000,0.001918,0.008111,-0.235352,0.971875,0.000500,-0.000100,-2.299500
41,True,True,-1.000000,1.000000,122.430000,-43.299999,17.049999,623.579956,-361.799988,8.110000,0.001999,0.008095,-0.244652,0.969575,0.000500,-0.000100,-2.317200
42,True,True,-1.000000,1.000000,127.689995,-46.349998,17.049999,629.789978,-379.289978,8.120000,0.002080,0.008073,-0.254001,0.967168,0.000500,-0.000100,-2.333500
43,True,True,-1.000000,1.000000,133.000000,-49.539997,17.049999,635.369995,-397.130005,8.120000,0.002161,0.008052,-0.263394,0.964652,0.000500,-0.000100,-2.348500
44,True,True,-1.000000,1.000000,138.349991,-52.879997,17.049999,640.309998,-415.299988,8.120000,0.002242,0.008030,-0.272819,0.962029,0.000400,-0.000100,-2.362200
45,True,True,-1.000000,1.000000,143.739990,-56.379997,17.049999,644.599976,-433.779999,8.120000,0.002322,0.008009,-0.282276,0.959297,0.000400,-0.000100,-2.374600
46,True,True,-1.000000,1.000000,149.169998,-60.029999,17.049999,648.229980,-452.549988,8.120000,0.002403,0.007987,-0.291754,0.956457,0.000400,-0.000100,-2.385700
47,True,True,-1.000000,1.000000,154.629990,-63.840000,17.049999,651.200012,-471.579987,8.120000,0.002484,0.007965,-0.301249,0.953509,0.000400,-0.000100,-2.395500
48,True,True,-1.000000,1.000000,160.110001,-67.809998,17.049999,653.500000,-490.859985,8.120000,0.002565,0.007938,-0.310750,0.950455,0.000400,-0.000200,-2.404100
49,True,True,-1.000000,1.000000,165.610001,-71.939995,17.049999,655.130005,-510.359985,8.120000,0.002646,0.007911,-0.320255,0.947295,0.000400,-0.000200,-2.411500
50,True,True,-1.000000,1.000000,171.119995,-76.229996,17.049999,656.079956,-530.070007,8.120000,0.002727,0.007885,-0.329755,0.944029,0.000400,-0.000200,-2.417700
51,True,True,-1.000000,1.000000,176.639999,-80.689995,17.049999,656.349976,-549.959961,8.120000,0.002808,0.007858,-0.339250,0.940659,0.000400,-0.000200,-2.422700
52,True,True,-1.000000,1.000000,182.159988,-85.320000,17.049999,655.940002,-570.000000,8.120000,0.002889,0.007831,-0.348729,0.937186,0.000400,-0.000200,-2.426600
53,True,True,-1.000000,1.000000,187.679993,-90.119995,17.049999,654.849976,-590.169983,8.120000,0.002970,0.007798,-0.358186,0.933613,0.000400,-0.000300,-2.429400
54,True,True,-1.000000,1.000000,193.190002,-95.079994,17.049999,653.079956,-610.450012,8.120000,0.003051,0.007766,-0.367616,0.929940,0.000400,-0.000300,-2.431200
55,True,True,-1.000000,1.000000,198.679993,-100.209999,17.049999,650.630005,-630.820007,8.120000,0.003132,0.007733,-0.377019,0.926168,0.000400,-0.000300,-2.431900
56,True,True,-1.000000,1.000000,204.149994,-105.509995,17.049999,647.510010,-651.250000,8.120000,0.003213,0.007701,-0.386385,0.922300,0.000400,-0.000300,-2.431600
57,True,True,-1.000000,1.000000,209.589996,-110.989998,17.049999,643.719971,-671.719971,8.120000,0.003294,0.007669,-0.395707,0.918339,0.000300,-0.000300,-2.430300
58,True,True,-1.000000,1.000000,215.000000,-116.639999,17.049999,639.260010,-692.209961,8.120000,0.003374,0.007636,-0.404986,0.914285,0.000300,-0.000300,-2.428100
59,True,True,-1.000000,1.000000,220.369995,-122.459999,17.049999,634.140015,-712.700012,8.120000,0.003455,0.007599,-0.414217,0.910140,0.000200,-0.000300,-2.424900
60,True,True,-1.000000,1.000000,225.699997,-128.449997,17.049999,628.359985,-733.159973,8.120000,0.003531,0.007561,-0.423393,0.905908,0.000100,-0.000200,-2.420800
61,True,True,-1.000000,1.000000,230.979996,-134.610001,17.049999,621.940002,-753.570007,8.120000,0.003606,0.007523,-0.432511,0.901590,0.000100,-0.000100,-2.415800
62,True,True,-1.000000,1.000000,236.209991,-140.940002,17.049999,614.880005,-773.909973,8.120000,0.003682,0.007485,-0.441563,0.897191,0.000100,-0.000100,-2.410000
63,True,True,-1.000000,1.000000,241.379990,-147.440002,17.049999,607.190002,-794.159973,8.120000,0.003757,0.007448,-0.450551,0.892712,0.000200,-0.000100,-2.403300
64,True,True,-1.000000,1.000000,246.479996,-154.110001,17.049999,598.820007,-814.320007,8.120000,0.003833,0.007410,-0.459468,0.888155,0.000200,0.000000,-2.397400
65,True,True,-1.000000,1.000000,251.509995,-160.949997,17.049999,589.760010,-834.369995,8.120000,0.003909,0.007372,-0.468316,0.883522,0.000200,0.000000,-2.392800
66,True,True,-1.000000,1.000000,256.459991,-167.959991,17.049999,580.029968,-854.289978,8.120000,0.003984,0.007334,-0.477099,0.878810,0.000200,0.000000,-2.389200
67,True,True,-1.000000,1.000000,261.329987,-175.139999,17.049999,569.640015,-874.059998,8.120000,0.004060,0.007296,-0.485822,0.874018,0.000200,0.000000,-2.386400
68,True,True,-1.000000,1.000000,266.109985,-182.479996,17.049999,558.609985,-893.649963,8.120000,0.004135,0.007259,-0.494486,0.869145,0.000100,0.000000,-2.384200
69,True,True,-1.000000,1.000000,270.799988,-189.989990,17.049999,546.950012,-913.049988,8.120000,0.004205,0.007216,-0.503096,0.864190,0.000000,0.000000,-2.382500
70,True,True,-1.000000,1.000000,275.389984,-197.659988,17.049999,534.669983,-932.229980,8.120000,0.004275,0.007172,-0.511652,0.859152,0.000000,0.000000,-2.381200
71,True,True,-1.000000,1.000000,279.880005,-205.489990,17.049999,521.779968,-951.179993,8.120000,0.004346,0.007129,-0.520149,0.854034,0.000000,0.000000,-2.380200
72,True,True,-1.000000,1.000000,284.259979,-213.479996,17.049999,508.289978,-969.880005,8.120000,0.004416,0.007086,-0.528592,0.848835,0.000000,0.000000,-2.379300
73,True,True,-1.000000,1.000000,288.529999,-221.619995,17.049999,494.209991,-988.320007,8.120000,0.004486,0.007043,-0.536981,0.843553,0.000000,0.000000,-2.378600
74,True,True,-1.000000,1.000000,292.679993,-229.919998,17.049999,479.549988,-1006.479980,8.120000,0.004556,0.007000,-0.545316,0.838189,0.000000,0.000000,-2.377900
75,True,True,-1.000000,1.000000,296.699982,-238.369995,17.049999,464.319977,-1024.339966,8.120000,0.004626,0.006957,-0.553592,0.832746,0.000000,0.000000,-2.377200
76,True,True,-1.000000,1.000000,300.600006,-246.970001,17.049999,448.529999,-1041.890015,8.120000,0.004696,0.006908,-0.561814,0.827222,0.000000,0.000000,-2.376500
77,True,True,-1.000000,1.000000,304.359985,-255.720001,17.049999,432.190002,-1059.109985,8.120000,0.004766,0.006860,-0.569976,0.821619,0.000000,0.000000,-2.375700
78,True,True,-1.000000,1.000000,307.989990,-264.609985,17.049999,415.299988,-1075.989990,8.120000,0.004836,0.006811,-0.578079,0.815938,0.000000,0.000000,-2.374800
79,True,True,-1.000000,1.000000,311.470001,-273.639984,17.049999,397.889984,-1092.520020,8.120000,0.004901,0.006762,-0.586123,0.810179,0.000000,0.000100,-2.373800
80,True,True,-1.000000,1.000000,314.809998,-282.809998,17.049999,379.959991,-1108.679932,8.120000,0.004966,0.006714,-0.594107,0.804343,0.000000,0.000100,-2.372700
81,True,True,-1.000000,1.000000,318.000000,-292.109985,17.049999,361.519989,-1124.449951,8.120000,0.005031,0.006665,-0.602032,0.798428,0.000100,0.000100,-2.371400
82,True,True,-1.000000,1.000000,321.029999,-301.549988,17.049999,342.579987,-1139.829956,8.120000,0.005095,0.006617,-0.609892,0.792440,0.000100,0.000100,-2.369900
83,True,True,-1.000000,1.000000,323.899994,-311.119995,17.049999,323.149994,-1154.799927,8.120000,0.005160,0.006568,-0.617688,0.786379,0.000100,0.000000,-2.368300
