frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.707107,0.707107,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,-193.330002,-116.669998,483.329987,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,-186.659988,-113.339996,466.660004,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,-179.989990,-110.009995,449.989990,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,-173.319992,-106.680000,433.319977,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,-166.649994,-103.349998,416.649994,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,-159.979996,-100.019997,399.979980,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,-153.309998,-96.689995,383.309998,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,-146.639999,-93.360001,366.639984,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,-139.970001,-90.029999,349.970001,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,-133.300003,-86.699997,333.299988,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,-126.629997,-83.369995,316.630005,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,-119.959999,-80.040001,299.959991,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,-113.290001,-76.709999,283.290009,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,-106.619995,-73.379997,266.619995,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,-99.949997,-70.049995,249.949997,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,-93.279999,-66.720001,233.279999,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,-86.610001,-63.389999,216.610001,800.000000,400.000000,-2000.000000,-0.241496,0.597597,0.222097,0.731594,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
