frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bHandbrake,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,False,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
1,False,False,0.000000,0.000000,False,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
2,False,False,0.000000,0.000000,False,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
3,False,False,0.000000,0.000000,False,0.000000,3500.179932,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000
4,True,True,1.000000,0.000000,False,0.000000,3500.250000,0.000000,17.000000,21.520000,0.000000,8.360000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.001000,0.000000
5,True,True,1.000000,0.000000,False,0.000000,3500.500000,0.000000,17.000000,42.860001,0.000000,8.330000,0.000003,0.004793,0.000003,0.999988,0.000000,-0.001400,0.000000
6,True,True,1.000000,0.000000,False,0.000000,3500.929932,0.000000,17.000000,64.010002,0.000000,8.309999,0.000003,0.004788,0.000003,0.999988,0.000000,-0.001600,0.000000
7,True,True,1.000000,0.000000,False,0.000000,3501.530029,0.000000,17.000000,84.979996,0.000000,8.290000,0.000003,0.004782,0.000003,0.999988,0.000000,-0.001600,0.000000
8,True,True,1.000000,0.000000,False,0.000000,3502.309814,0.000000,17.000000,105.769997,0.000000,8.280000,0.000003,0.004777,0.000003,0.999989,0.000000,-0.001500,0.000000
9,True,True,1.000000,0.000000,False,0.000000,3503.260010,0.000000,17.000000,126.379997,0.000000,8.280000,0.000003,0.004772,0.000003,0.999989,0.000000,-0.001400,0.000000
10,True,True,1.000000,0.000000,False,0.000000,3504.379883,0.000000,17.000000,146.819992,0.000000,8.280000,0.000003,0.004766,0.000003,0.999989,0.000000,-0.001300,0.000000
11,True,True,1.000000,0.000000,False,0.000000,3505.669922,0.000000,17.000000,167.080002,0.000000,8.280000,0.000003,0.004761,0.000003,0.999989,0.000000,-0.001200,0.000000
12,True,True,1.000000,0.000000,False,0.000000,3507.129883,0.000000,17.000000,187.169998,0.000000,8.280000,0.000003,0.004756,0.000003,0.999989,0.000000,-0.001100,0.000000
13,True,True,1.000000,0.000000,False,0.000000,3508.760010,0.000000,17.000000,207.089996,0.000000,8.280000,0.000003,0.004750,0.000003,0.999989,0.000000,-0.000900,0.000000
14,True,True,1.000000,0.000000,False,0.000000,3510.549805,0.000000,17.000000,226.839996,0.000000,8.280000,0.000003,0.004745,0.000003,0.999989,0.000000,-0.000800,0.000000
15,True,True,1.000000,0.000000,False,0.000000,3512.510010,0.000000,17.000000,246.419998,0.000000,8.280000,0.000003,0.004739,0.000003,0.999989,0.000000,-0.000700,0.000000
16,True,True,1.000000,0.000000,False,0.000000,3514.629883,0.000000,17.000000,265.829987,0.000000,8.280000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000500,0.000000
17,True,True,1.000000,0.000000,False,0.000000,3516.909912,0.000000,17.000000,285.070007,0.000000,8.280000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000400,0.000000
18,True,True,1.000000,0.000000,False,0.000000,3519.349854,0.000000,17.000000,304.149994,0.000000,8.280000,0.000003,0.004734,0.000003,0.999989,0.000000,-0.000300,0.000000
