frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,-4499.810059,17.000000,0.000000,0.000000,8.410000,-0.003396,0.003401,0.707101,0.707096,0.000500,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,True,True,1.000000,0.000000,-4499.739746,17.000000,0.000000,21.520000,8.360000,-0.003396,0.003401,0.707101,0.707096,0.001200,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,True,True,1.000000,0.000000,-4499.489746,17.000000,0.000000,42.860001,8.330000,-0.003391,0.003396,0.707101,0.707096,0.001600,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,True,True,1.000000,0.000000,-4499.060059,17.000000,0.000000,64.010002,8.309999,-0.003385,0.003391,0.707101,0.707096,0.001700,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,True,True,1.000000,0.000000,-4498.459961,17.000000,0.000000,84.979996,8.290000,-0.003380,0.003385,0.707101,0.707096,0.001700,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,True,True,1.000000,0.000000,-4497.679688,17.000000,0.000000,105.769997,8.280000,-0.003374,0.003380,0.707101,0.707096,0.001600,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,True,True,1.000000,0.000000,-4496.729980,17.000000,0.000000,126.379997,8.280000,-0.003369,0.003374,0.707101,0.707096,0.001500,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,True,True,1.000000,0.000000,-4495.609863,17.000000,0.000000,146.819992,8.280000,-0.003364,0.003369,0.707102,0.707096,0.001300,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,True,True,1.000000,0.000000,-4494.319824,17.000000,0.000000,167.080002,8.280000,-0.003358,0.003364,0.707102,0.707096,0.001100,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,True,True,1.000000,0.000000,-4492.859863,17.000000,0.000000,187.169998,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000900,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,True,True,1.000000,0.000000,-4491.229980,17.000000,0.000000,207.089996,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000700,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,True,True,1.000000,0.000000,-4489.439941,17.000000,0.000000,226.839996,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000600,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,True,True,1.000000,0.000000,-4487.479980,17.000000,0.000000,246.419998,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000500,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,True,True,1.000000,0.000000,-4485.359863,17.000000,0.000000,265.829987,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000500,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,True,True,1.000000,0.000000,-4483.080078,17.000000,0.000000,285.070007,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000500,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,True,True,1.000000,0.000000,-4480.640137,17.000000,0.000000,304.149994,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000500,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,True,True,1.000000,0.000000,-4478.040039,17.000000,0.000000,323.059998,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000500,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,True,True,1.000000,0.000000,-4475.279785,17.000000,0.000000,341.809998,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000400,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,True,True,1.000000,0.000000,-4472.359863,17.000000,0.000000,360.399994,8.280000,-0.003353,0.003358,0.707102,0.707096,0.000400,0.000000,0.000000,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
